Docket No,Diagnosis,Alias ATM ID,ATM ID,Call Date with Time,Completion Date,Down Time,Model,ATM Type,ATM Classification,ATM Down,Action Taken,Sub Call Type
030124/4,Showing missing cassette 50K on host,NSFCRM01,NSFCRM01,1/3/2024 9:28,1/3/2024 13:20,3:52,DN 200V,CRM,Wing,No,"User : Srey Khuoch Date  : Jan  3 2024  2:35PM
Action :   ;

User : Sovatdy Date  : Jan  3 2024  2:08PM
Action : To check CRM showing missing cassette 50K on host. Log in admin and check on blk unit mask to 01011111 and max blk cassettes to 7. Restart machine and check on host. Still missing. Checked on configuration in TSOP and reconfig all cassettes in machine including reject and retract. Recheck all configuration in regedit and stop application. Replace dll file dccinmsg and dccrsta. Restart machine and check on all devices and cassette status again. OK. Asked host team to check on host monitoring. All cassettes showing correctly. Bank load cash and tested transactions. Completed. Now CRM is working normal.;

User : Sovatdy Date  : Jan  3 2024 10:17AM
Action : Showing missing cassette 50K on host;

User : Sopheak Sovatdy Date  : Jan  3 2024  9:51AM
Action : Showing missing cassettes 50K on host;

User : Srey Khuoch Date  : Jan  3 2024  9:30AM
Action : Showing missing cassette 50K on host;

",Error Cassette
030124/5,Error I/O,TKCRM001,TKCRM001,1/3/2024 15:02,1/3/2024 15:49,0:47,DN 200V,CRM,Wing,No,"User : Srey Khuoch Date  : Jan  4 2024  8:32AM
Action :   ;

User : Vannak Date  : Jan  3 2024  3:58PM
Action : Go to check CRM error I/O at TK branch Print counter Check all devices are ok and reset tested devices okay shutdown machine remove out I/O cleaned sensors and rollers returned back I/O to the right position Power machine reset and test all devices are okay Bank test transaction many times successful;

User : Vannak Date  : Jan  3 2024  3:46PM
Action : CRM error I/O;

User : Than Rothana Date  : Jan  3 2024  3:36PM
Action : CRM error I/O;

User : Srey Khuoch Date  : Jan  3 2024  3:06PM
Action : Error I/O;

",Error I/O
050124/8,Cash surplus 10k,PTT_Klaing Leu,AMKDC04,1/5/2024 8:42,2/28/2024 9:05,1296:23:00,DM 200,DC365,AMK MFI,No,"User : Srey Khuoch Date  : Feb 28 2024  9:07AM
Action : To solve issue, we have to
_Adjust gap
_apply firmware 20231229FW
_After follow up action, machine works as normal.;

",Cash surplus and shortage
090124/9,Torn note 10$,PNPBNC-C001,AMKATM33,1/9/2024 8:52,1/9/2024 12:15,3:23,DN 200V,CRM,AMK MFI,No,"User : Srey Khuoch Date  : Jan 10 2024  8:33AM
Action :   ;

User : Rothana Date  : Jan  9 2024  2:46PM
Action : going to check CRM got torn note 10$ check and test all devices and cleaned all sensors do sanding CHT on loop back transport completed bank load cash and tested transaction many times seem no torn note anymore now CRM is working as normal;

User : Rothana Date  : Jan  9 2024  2:36PM
Action : to checked CRM got torn note 10$ at rule University;

User : Sopheak Sovatdy Date  : Jan  9 2024  2:18PM
Action : Torn note 10$;

User : Srey Khuoch Date  : Jan  9 2024  8:56AM
Action : Torn note 10$;

",Cash Rejected and Torn
100124/12,Reject too many note (50K),ASNTAN1-A001,AMKATM53,1/10/2024 8:28,1/10/2024 11:00,2:32,DN 100D,ATM,AMK MFI,No,"User : Srey Khuoch Date  : Jan 11 2024  8:53AM
Action :   ;

User : Bunseang Date  : Jan 11 2024  8:40AM
Action : shutdown machine and remove money jam  from picker slot 4 and removed feed wheel spoil clean and replace by new feed wheel power on machine to test devices is ok customers load cash and test transactions is working;

User : Bunseang Date  : Jan 10 2024  9:40AM
Action : Check ATM reject too many note (50k);

User : Chean Sovanarath Date  : Jan 10 2024  9:21AM
Action : Reject too many note (50K);

User : Srey Khuoch Date  : Jan 10 2024  8:31AM
Action : Reject too many note (50K);

",Cash Rejected and Torn
110124/13,ATM can not withdraw 50K,PNPPNP-A002,AMKATM08,1/11/2024 9:42,1/11/2024 10:20,0:38,DN 100D,ATM,AMK MFI,No,"User : Srey Khuoch Date  : Jan 11 2024  2:14PM
Action :   ;

User : Rothana Date  : Jan 11 2024 11:10AM
Action : _Going to check ATM cannot withdraw 50k at hq .check and test devices are OK.power off ATM and check on slot 50k seen feed wheel spoil .changed new feed wheel on slot 50k completed. Power on ATM check and tested device are OK. bank load cash and performance transaction looking smooth .now ATM is working as normal .;

User : Rothana Date  : Jan 11 2024 10:15AM
Action : atm cannot withdrawal 50k;

User : Chean Sovanarath Date  : Jan 11 2024  9:54AM
Action : ATM can not withdraw 50K;

User : Srey Khuoch Date  : Jan 11 2024  9:48AM
Action : ATM can not withdraw 50K;

",Transaction decline
120124/14,ATM always disconnect device,SRPNMK-A001,AMKATM71,1/12/2024 8:41,1/12/2024 14:24,5:43,DN 100D,ATM,AMK MFI,No,"User : Srey Khuoch Date  : Jan 12 2024  3:41PM
Action :    ;

User : Sokheng Date  : Jan 12 2024  2:25PM
Action : Printed counter and checked all devices found cashslot camera epp touch screen not connected,power off ATM and try to tested unplug USB from all devices but still error,replace new FIL and usb for epp touch screen and cashslot camera,power on machine tested all devices are ok,bank do many transaction successfully,now ATM is working as normal;

User : Sokheng Date  : Jan 12 2024  2:23PM
Action : ATM always disconnected devices (NMK);

User : Than Rothana Date  : Jan 12 2024  9:00AM
Action : ATM always disconnect devices;

User : Srey Khuoch Date  : Jan 12 2024  8:54AM
Action : ATM always disconnect device;

",Connection Error
190124/17,Not accept money both currency,PP-SHV Express way,25312001,1/17/2024 14:00,1/18/2024 10:40,20:40,DM 200,DC365,Phillip Bank,Yes,"User : Srey Khuoch Date  : Jan 19 2024  8:54AM
Action : To fix this machine, check all device, clean sensor and do CIS calibration, test many times, Now machine is working normal. ;

",Cash Rejected and Torn
220124/19,Error cannot open baffle door,PTT Seang Nam,AMKDC05,1/21/2024 10:10,1/24/2024 13:15,75:05:00,DM 200,DC365,AMK MFI,Yes,"User : Srey Khuoch Date  : Jan 25 2024 10:06AM
Action : Here is the activities at PTT Seang Nam
_fixed escrow arm
_updated the latest firmware
_reupdated latest firmware again via USB
_adjust escrow to make it balance
_Testing all device is ok 
_User can perform testing as normal;

",Error baffle door
230124/20,Cannot close reject box cover,PSZATM01,PSZATM01,1/23/2024 14:06,1/23/2024 15:01,0:55,DN 100D,ATM,Wing,No,"User : Srey Khuoch Date  : Jan 23 2024  5:19PM
Action :   ;

User : Vannak Date  : Jan 23 2024  3:12PM
Action : Go to check ATM error Reject box at PPSEZ , Print counter and check devices ok, Check Pin reject box is ok and removed divert retract 2set , bank tested confirm many times working normal;

User : Vannak Date  : Jan 23 2024  2:58PM
Action : Error Reject box;

User : Chean Sovanarath Date  : Jan 23 2024  2:16PM
Action : Cannot close reject box cover;

User : Srey Khuoch Date  : Jan 23 2024  2:08PM
Action : Cannot close reject box cover;

",Error reject box
